VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
V1,C5,132,C5-CD3-C5,2,12-12,14.08,33.79,101376
V2,C1,136,C1-C2-C3-C4-CD1-C2,5,12-12-12-12-12,63.09,151.42,454248
