VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
V1,C5,131.9211396722696,C5-C7-C8-CD4-C8,4,5-12-10-10,37.98,91.15,273456
V3,C1,91.50425520531196,C1-C2-C4-C6-CD5-C6,5,12-15-6-11-11,35.78,85.87,257616
V5,C3,22.65262807032524,C3-CD9-C3,2,15-15,3.2,7.68,23040
V6,C9,22.682911535937688,C9-CD7-C9,2,15-15,5.34,12.82,38448
